year,district,office,candidate,party,votes,percentage
2018,STATE,U.S. Senate,Cruz,REP,4259630,50.9
2018,STATE,U.S. Senate,O'Rourke,DEM,4044073,48.3
2018,STATE,U.S. Senate,Dikeman,LIB,65472,0.8
2018,STATE,Governor,Abbott,REP,4655344,55.8
2018,STATE,Governor,Valdez,DEM,3545673,42.5
2018,STATE,Governor,Tippetts,LIB,140596,1.7
2018,STATE,Lieutenant Governor,Patrick,REP,4260186,51.3
2018,STATE,Lieutenant Governor,Collier,DEM,3859878,46.5
2018,STATE,Lieutenant Governor,McKennon,LIB,183455,2.2
2018,STATE,Attorney General,Paxton,REP,4190455,50.6
2018,1,U.S. Senate,Cruz,REP,47345,74.4
2018,1,U.S. Senate,O'Rourke,DEM,15929,25.0
2018,1,U.S. Senate,Dikeman,LIB,392,0.6
2018,1,Governor,Abbott,REP,48519,76.2
2018,1,Governor,Valdez,DEM,14503,22.8
2018,1,Governor,Tippetts,LIB,627,1.0
2018,1,Lieutenant Governor,Patrick,REP,44928,70.8
2018,1,Lieutenant Governor,Collier,DEM,17582,27.7
2018,1,Lieutenant Governor,McKennon,LIB,924,1.5
2018,1,Attorney General,Paxton,REP,46141,72.9
2018,2,U.S. Senate,Cruz,REP,45603,78.2
2018,2,U.S. Senate,O'Rourke,DEM,12330,21.1
2018,2,U.S. Senate,Dikeman,LIB,407,0.7
2018,2,Governor,Abbott,REP,47220,81.1
2018,2,Governor,Valdez,DEM,10314,17.7
2018,2,Governor,Tippetts,LIB,708,1.2
2018,2,Lieutenant Governor,Patrick,REP,44203,76.2
2018,2,Lieutenant Governor,Collier,DEM,12802,22.1
2018,2,Lieutenant Governor,McKennon,LIB,992,1.7
2018,2,Attorney General,Paxton,REP,44092,76.3
2018,3,U.S. Senate,Cruz,REP,44226,76.5
2018,3,U.S. Senate,O'Rourke,DEM,13197,22.8
2018,3,U.S. Senate,Dikeman,LIB,416,0.7
2018,3,Governor,Abbott,REP,46247,79.8
2018,3,Governor,Valdez,DEM,10992,19.0
2018,3,Governor,Tippetts,LIB,733,1.3
2018,3,Lieutenant Governor,Patrick,REP,44309,76.5
2018,3,Lieutenant Governor,Collier,DEM,12550,21.7
2018,3,Lieutenant Governor,McKennon,LIB,1025,1.8
2018,3,Attorney General,Paxton,REP,43905,76.0
2018,4,U.S. Senate,Cruz,REP,37372,70.4
2018,4,U.S. Senate,O'Rourke,DEM,15366,28.9
2018,4,U.S. Senate,Dikeman,LIB,375,0.7
2018,4,Governor,Abbott,REP,39301,73.9
2018,4,Governor,Valdez,DEM,13145,24.7
2018,4,Governor,Tippetts,LIB,739,1.4
2018,4,Lieutenant Governor,Patrick,REP,36949,69.6
2018,4,Lieutenant Governor,Collier,DEM,15129,28.5
2018,4,Lieutenant Governor,McKennon,LIB,996,1.9
2018,4,Attorney General,Paxton,REP,36622,69.2
2018,5,U.S. Senate,Cruz,REP,49017,79.1
2018,5,U.S. Senate,O'Rourke,DEM,12521,20.2
2018,5,U.S. Senate,Dikeman,LIB,399,0.6
2018,5,Governor,Abbott,REP,50164,80.8
2018,5,Governor,Valdez,DEM,11243,18.1
2018,5,Governor,Tippetts,LIB,652,1.1
2018,5,Lieutenant Governor,Patrick,REP,46979,76.0
2018,5,Lieutenant Governor,Collier,DEM,13822,22.4
2018,5,Lieutenant Governor,McKennon,LIB,1038,1.7
2018,5,Attorney General,Paxton,REP,48013,77.8
2018,6,U.S. Senate,Cruz,REP,42395,67.8
2018,6,U.S. Senate,O'Rourke,DEM,19725,31.6
2018,6,U.S. Senate,Dikeman,LIB,370,0.6
2018,6,Governor,Abbott,REP,44075,70.7
2018,6,Governor,Valdez,DEM,17492,28.1
2018,6,Governor,Tippetts,LIB,761,1.2
2018,6,Lieutenant Governor,Patrick,REP,41848,67.5
2018,6,Lieutenant Governor,Collier,DEM,19056,30.7
2018,6,Lieutenant Governor,McKennon,LIB,1133,1.8
2018,6,Attorney General,Paxton,REP,41735,67.4
2018,7,U.S. Senate,Cruz,REP,43243,69.7
2018,7,U.S. Senate,O'Rourke,DEM,18396,29.7
2018,7,U.S. Senate,Dikeman,LIB,387,0.6
2018,7,Governor,Abbott,REP,44858,72.3
2018,7,Governor,Valdez,DEM,16516,26.6
